,Occupation,Family Type,Family Interest,House Type,Number Of Residents,Average Age,Distance To Nearest Tower [m],Number Of Phones,Number Of Computers,Number Of Tvs,Number Of Pets,Customer Happiness,Time Spend On YouTube [min],Time Spend On TikTok [min],Time Spend On Instagram [min],Time Spend On Spotify [min],Size of home [m2],Mobile Traffic
0,Student,Family,Gaming,Glas,2,62,56.40127521495403,2,1,1,1,10,7.082154243465712,1.7019708433417198,1.357238608877348,3.8713592005499335,0.6692508719539485,9.057806992346652
1,Data Scientist,Family,Travelling,Metal,2,58,74.55672168454481,2,1,1,0,7,14.505509385682554,6.080084944490515,10.422185105563523,12.670895534018051,0.43194322682670483,10.629095087043332
2,Student,Family,Musical,Tiles,3,60,56.47476985359639,4,1,2,1,8,3.212063404024987,4.949158567769739,11.400156890697682,19.401647226789734,0.7287430023882697,8.268303845097028
3,Teacher,Couple,Crafty,Tiles,2,50,71.88023350389821,2,1,1,1,9,14.826860424227755,7.208711283539666,4.214401581752622,111.83382916302985,0.39018236320869115,9.21652474117389
4,Student,Seniors,Crafty,Wood,3,51,78.5113390455593,2,1,1,1,8,15.092286192523739,20.405862116444936,3.4272676841133753,36.259240634251874,0.3539565270669261,13.502622738719424
5,Nurse,Family,Musical,Concrete,3,43,87.72901189607748,3,1,1,1,8,10.987025657719665,12.949244526630775,14.617360585298202,41.36403423538874,0.5721556109518843,8.663220866695816
6,Teacher,Couple,Travelling,Metal,4,40,46.79245394693414,2,2,2,0,8,18.59016622273089,11.162013059826545,10.336959432994002,15.9730545893654,0.45196077809332386,8.519115495192246
7,Data Scientist,Family,Gaming,Tiles,1,59,20.74090982317523,2,1,2,1,8,5.0389142407742025,3.4365697180109347,6.849320411332901,14.698356301399057,0.5175830984360994,5.630262192695295
8,Student,Singles,Travelling,Concrete,2,44,92.19987413622351,2,0,1,1,7,6.983158548169452,11.995643379309803,7.190483276296526,4.259887724788269,0.3811683602676852,9.927087789218445
9,Data Scientist,Family,Crafty,Concrete,2,50,36.43971577310997,1,1,1,1,10,9.094708654942039,9.26338760594316,7.454957928502657,31.894854723057875,0.44901829895549533,11.402008483477076
10,Salesman,Couple,Gaming,Tiles,3,59,42.11071736045926,4,2,1,0,9,13.615068169677597,3.5904642113983787,2.7556287722942785,29.841463153494246,0.5720239016986576,11.42550129478591
11,Teacher,Couple,Travelling,Tiles,1,51,60.57021188321425,2,1,1,0,8,11.938100412296551,11.62123639311609,11.074067799568653,20.99344018059657,0.24474258263814752,10.17369942351872
12,Teacher,Family,Gaming,Metal,3,58,39.084842377844346,3,1,1,0,8,3.355796910922852,14.004288158465515,31.601233500382072,15.1111977339323,0.5524293794942949,9.101297160894946
13,Salesman,Couple,Gaming,Glas,5,48,92.6470217888688,4,2,1,1,8,15.285144142119254,9.22254690585683,5.450943454269826,79.82583219807664,0.6358803593193142,13.96495456718716
14,Data Scientist,Family,Gaming,Wood,2,57,27.078260225477944,3,1,1,1,8,2.7677216402862563,2.9929037482009893,5.304994003994831,17.543198264002005,0.3279135239758567,5.751219580398063
15,Salesman,Seniors,Musical,Tiles,1,45,45.24909733891527,3,1,1,1,10,11.248827887876706,8.513765193682902,11.424877347477919,19.4086055295357,0.4992226703038952,12.709758144359323
16,Data Scientist,Couple,Sporty,Tiles,2,39,36.45072626054205,2,1,1,1,9,12.505570096622375,10.833184569012218,12.458105019489166,22.88140411390314,0.23057941266419435,11.89180705538788
17,Firefighter,Seniors,Outdoor,Tiles,3,41,27.419195115367284,3,2,2,1,8,13.547427104274202,10.179373540417428,13.720618260392746,13.377154521063703,0.3720155358611566,11.591115543854935
18,Data Scientist,Couple,Gaming,Glas,2,35,24.828564253241947,2,1,1,0,10,8.924195979154831,10.471816431571536,8.368209174444672,10.201007210354065,0.33180182154560256,10.436490729579347
19,Data Scientist,Family,Outdoor,Wood,2,64,51.48151008277635,2,2,2,1,7,15.232071161568555,4.830482326887114,7.364402472251996,15.863741429919385,0.3397204024626203,9.597913586370597
20,Salesman,Seniors,Travelling,Tiles,3,35,57.80250014055743,2,1,1,1,8,13.923313322920052,7.22980966875138,9.290981362638416,7.406789416271429,0.5508574919798539,9.59378190162939
21,Student,Singles,Outdoor,Metal,1,37,61.191867230082444,1,0,1,0,8,15.843736717537096,11.006639589317473,4.737272364787722,7.429104412040479,0.2163418178301025,9.200357847828906
22,Firefighter,Seniors,Outdoor,Metal,4,52,95.49897906971934,3,2,2,1,8,9.1992153989078,9.560149269988575,15.441934747122248,41.099429794762976,0.6287030915135087,10.370720474946447
23,Salesman,Singles,Travelling,Tiles,2,58,72.72793757412842,3,1,1,1,10,15.098325452666847,11.19912268552944,16.7382398543697,46.18428355566186,0.46449081561741845,10.040057119455971
24,Teacher,Singles,Outdoor,Concrete,2,50,41.48222521574504,3,1,2,1,8,12.005387421985752,15.551747570871285,21.85306828360085,41.85092841451352,0.4139795464837939,11.423828517081638
25,Teacher,Couple,Outdoor,Metal,3,49,58.80966316972041,2,1,1,1,5,11.466837343968619,11.804019700579708,5.923966752103903,9.36917247171299,0.5534262098868639,8.771006652729781
26,Teacher,Couple,Sporty,Concrete,2,47,93.75264079387979,3,1,1,1,9,13.567434643459684,9.386487075446082,23.925725941177514,19.099548166105983,0.47862471409812346,10.892520547494444
27,Salesman,Seniors,Travelling,Tiles,2,54,97.67643299153178,3,2,1,1,8,15.457163218149514,12.745679070424314,34.63743876128406,34.79745642127394,0.6002736092625718,10.87546099882795
28,Salesman,Seniors,Outdoor,Glas,2,54,54.57751049261965,3,2,1,0,7,14.856707512420826,8.430368580731932,6.215520946404198,10.663019546027074,0.731268403430644,9.748201168372827
29,Salesman,Seniors,Travelling,Glas,4,64,108.83119745863544,4,2,1,0,7,20.136134246002285,12.640528795439437,8.048609689047113,58.928244810304314,0.6001230733608696,12.48765094732134
30,Student,Seniors,Sporty,Concrete,2,48,62.427790426503606,2,2,2,0,4,21.979852847901995,8.608235602414561,12.133281092935098,25.143383951789552,0.48911067049572776,9.696953406290323
