,Occupation,Family Type,Family Interest,House Type,Number Of Residents,Average Age,Distance To Nearest Tower [m],Number Of Phones,Number Of Computers,Number Of Tvs,Number Of Pets,Customer Happiness,Time Spend On YouTube [min],Time Spend On TikTok [min],Time Spend On Instagram [min],Time Spend On Spotify [min],Size of home [m2],Mobile Traffic
0,0.587,0.379,0.554,0.465,4,48,48.215855417006914,3,2,2,2,8.0,14.819207815830417,7.878259239940307,37.307131213471855,36.030784550976115,0.741061461398844,10.677280963239834
1,0.326,0.379,0.39,0.465,3,56,67.9128464921499,3,1,1,1,9.0,9.918597989073628,5.0673177924634265,26.495705644641824,36.06470225255816,0.6815755604040707,10.018715948478834
2,0.456,0.379,0.619,0.392,3,49,70.92930949657415,4,1,1,0,8.0,8.220747419846324,6.64875147204628,12.872725571342917,13.49805871905015,0.48781003197159345,10.976928546362984
3,0.587,0.57,0.619,1.0,2,58,98.54397103524258,2,2,2,0,7.0,11.198002693078099,9.571359497322632,13.050903315321403,13.08832149887672,0.606727813049916,10.26941874926248
4,0.399,0.474,1.0,0.465,2,46,45.742183565028455,2,1,2,1,8.0,7.900798332913335,16.50123788698244,4.790816681392454,12.573402259103846,0.45798563651023505,12.406023155500101
5,1.0,1.0,0.453,0.465,3,41,90.5413295002571,3,1,1,1,7.0,11.286912898643912,29.784667887557696,14.42065222181806,41.879605480243306,0.5796975193700807,12.599009416246323
6,0.326,0.379,0.504,0.392,2,53,29.260945571716398,1,1,1,1,7.0,7.738823123240122,3.14290679631283,4.211179222332876,5.424125903989781,0.42042327458415957,6.279949362473748
7,0.326,0.379,0.504,0.53,3,55,59.69006076026385,4,1,1,0,5.0,23.267846613023632,18.083807158012327,12.916994122568278,149.25315724988818,0.4859783813939765,7.871185945470993
8,1.0,1.0,1.0,0.607,3,45,59.84476460449134,3,2,1,1,8.0,21.586802607803367,20.458767723770496,28.990254075376733,17.108192052884245,0.7874616725433199,12.578736426407042
9,0.516,0.379,0.39,1.0,4,49,54.83974525848555,4,1,1,0,1.0,10.91642911774698,21.92985416662694,34.491632331499574,58.2750927891172,0.5106471058362675,6.916472099924307
10,0.516,1.0,0.504,1.0,2,46,93.34314134551809,3,1,2,1,7.0,13.293080404197458,15.785658794090828,21.912017795814265,46.846175496204474,0.5331898072824106,11.350471884979658
11,1.0,1.0,0.619,0.53,3,41,53.196894153490376,3,1,1,1,5.0,12.886199754854369,21.827974107156525,22.69861087049636,47.46246441997286,0.4622212382940177,9.096648475737418
12,0.326,0.474,1.0,0.53,1,40,56.64741369993126,2,1,1,1,8.0,10.688138807192932,19.56767833412078,23.278234997413712,9.430139483079012,0.4102215493126461,12.086091001301025
13,0.587,0.379,0.453,0.465,3,53,25.924206763378052,4,1,2,0,9.0,12.905066773598547,7.294282291084041,20.213102363366232,10.186721693090323,0.4477196696116758,10.095680575249315
14,0.456,1.0,1.0,0.465,3,33,60.45077570041067,3,1,1,0,10.0,14.260057089030765,30.23237671814275,89.17965849927646,40.80698009039614,0.35863234957231516,14.133850181597438
15,0.456,0.57,0.619,0.607,3,49,75.04946426880021,2,1,2,1,8.0,17.339437808205403,11.605941477477348,21.461066364855174,21.06326798660489,0.5218441318840774,12.39208861442858
16,0.516,1.0,0.619,0.392,1,40,48.49593657240638,1,1,1,0,6.0,22.863088092796648,8.642144789690317,16.54485109105273,10.455365501737877,0.31645917482498664,8.508465973737636
17,0.587,0.474,0.619,0.53,3,61,49.1839006819989,2,2,2,0,8.0,8.272799492505783,7.51503397924097,15.885475781560194,13.390149703065147,0.4671491411320959,8.55794038672568
18,0.326,0.379,0.554,0.392,2,55,75.7197997926333,1,0,2,1,6.0,5.801060351015578,9.444583194116943,7.392689638465408,11.556025446049015,0.3814669694846802,9.223956954335257
19,1.0,0.474,0.453,1.0,3,52,54.478835516648914,4,1,2,1,7.0,7.104534082143367,13.131607630390452,10.077198731686947,36.89740355431086,0.40184972765060023,12.755061606611115
20,0.456,0.474,0.554,0.607,2,50,59.91565873396043,2,1,1,1,8.0,14.617945086513878,6.85854716271864,20.083249332867435,14.519166839598165,0.6020436581268982,10.706554369730593
21,0.516,0.379,0.453,0.392,3,44,41.041347412169465,2,1,1,1,8.0,3.208800616354199,3.585192146196067,6.406394413401756,8.75792102884607,0.6425351983948635,4.572584158565813
22,0.516,0.474,0.554,0.607,2,56,40.58278023912036,4,2,1,0,7.0,9.86905558052684,8.307440632103127,11.134323120405039,22.470812318519368,0.5265339458475655,9.89415093464067
23,0.326,0.379,0.453,0.392,1,53,57.764070724076,2,1,1,0,8.0,9.15327036416516,8.836730671614841,12.552833427300937,8.59007032267421,0.38665766625632564,9.020101371683761
24,0.587,0.474,0.39,0.53,1,43,44.47463119597357,2,1,0,1,4.0,11.686899638490072,12.618079904084356,28.210617646010565,29.871976573673756,0.4678255832389151,5.230720545203898
25,0.326,1.0,0.554,0.465,2,44,73.5732970984559,2,1,1,1,8.0,8.28894896408475,8.554887978332133,27.510497240256907,37.556278675857605,0.2644341112830959,11.246111199627101
26,0.326,0.379,0.453,0.392,2,49,42.924325604215724,2,0,1,1,7.0,11.841733854150021,7.907119470821371,8.854358048089592,15.54531677321206,0.43010609635286656,8.333875363673789
27,0.399,0.379,0.504,0.465,1,42,33.383117002206056,3,0,0,0,8.0,8.252255425264437,7.588456951539451,13.136727918998027,24.272865375062967,0.31280269825060186,9.34166772815599
28,0.456,0.379,0.453,0.53,2,41,24.389240630170246,3,0,1,1,7.0,7.464274855745366,7.267086891830169,6.047413606284909,29.42703073342917,0.4662190048802852,4.190931342264499
29,0.456,0.474,0.504,0.392,5,49,102.24580219777789,4,2,2,1,5.0,20.150539751207717,10.162793635860666,18.412091588317114,61.69893606392389,0.5414629750435529,11.672333122295713
30,0.399,0.474,0.39,0.465,1,56,78.41562478487006,1,1,1,0,4.0,17.39178690307301,3.5822231052925,3.6654556920945387,10.416529619990664,0.5048286393308882,7.871197042671203
31,0.587,0.57,0.619,0.465,3,53,105.36802075148998,3,1,1,1,9.0,13.087315157278287,14.949263801524557,45.503360211038355,12.513296978980913,0.6690357162491507,13.719799497451731
32,0.399,0.379,0.504,0.392,2,54,75.5756702568777,3,1,1,1,8.0,6.574206430796085,15.4616775916533,17.71871665679288,15.508889577860433,0.31903622447837904,9.944239642700905
33,0.516,0.379,0.554,0.53,2,57,95.37265916693708,3,1,1,1,8.0,17.187672510831128,4.852239597280769,8.223860595883078,16.514771161038617,0.5951731834552724,9.826042301281763
34,0.399,0.57,0.554,1.0,2,54,62.67022055867717,3,2,2,0,1.0,19.787422394133767,10.241060514678862,13.688284041101968,36.300529762496446,0.7322792560026398,8.664838042185568
35,0.399,0.474,0.39,0.392,2,55,38.038097969463095,3,1,1,1,5.0,12.863655598402074,5.657208691353717,4.471315295366453,78.04280421809996,0.3484976666684739,8.126593652763175
36,0.326,0.379,0.554,0.392,3,36,52.28245612134855,3,1,1,1,10.0,13.792128572210743,20.281782687455838,19.06052653323743,73.50078967613656,0.3038941909966995,13.818074511738008
37,1.0,1.0,0.619,0.465,2,40,87.39066589845358,2,2,1,1,7.0,31.1580346171422,32.74039942641574,19.700467230981,29.792413423774693,0.5303947048161693,14.449324586492352
38,1.0,0.57,0.619,1.0,3,50,71.1954741786499,2,1,1,1,10.0,13.259659609197385,7.631075870066389,12.26445098659869,21.41092371807026,0.5557680615791681,11.076318817012359
39,0.399,0.379,0.453,0.465,1,42,24.291817495775884,2,1,1,1,10.0,6.327588251932983,4.045984565233969,9.58999931298171,6.0301488019408795,0.27176285186181354,7.6386175600590445
40,0.399,0.379,0.504,0.392,2,42,44.11384492517289,2,1,0,1,9.0,9.984945001553365,14.968980681238579,10.125748539678243,79.80980214141576,0.21727917686986095,11.408532962006365
41,0.399,0.57,1.0,0.392,3,45,63.73411127994884,3,1,2,1,5.0,9.657733878509598,21.244196442421693,33.662391273385936,18.91922463147512,0.6893180982396854,8.942369776813468
42,0.587,0.379,0.619,0.465,2,51,34.98804205387953,2,2,2,1,10.0,4.142921496059288,5.783654844817624,8.452207449087355,5.791334479847966,0.595761262690128,6.947867906468357
43,0.456,0.474,1.0,1.0,1,42,26.27061697802679,3,1,1,1,10.0,14.74658362337271,18.029599399152325,6.755006326421771,14.279259976333153,0.4899772190185581,12.049294170727407
44,0.326,0.379,1.0,0.465,2,39,29.269837782898193,2,1,2,1,10.0,10.544684074589805,23.015683277687746,14.552356030985145,10.114281124815275,0.5190120083390343,9.13439659715743
45,1.0,0.57,0.504,1.0,4,44,106.01236372404175,4,1,1,0,8.0,16.44891291112782,14.08470960242373,10.680830474339865,78.43168799658267,0.40998989671306435,12.154224527594938
46,0.587,1.0,0.504,1.0,2,39,49.453668668499084,2,1,1,1,8.0,15.228962057784464,7.068552110903593,13.107529486281788,10.743572940041489,0.5461934142895291,10.993786528367185
47,1.0,1.0,0.39,0.607,2,53,60.353087177772785,2,1,1,1,8.0,8.666257906703997,2.8018852914654855,4.721576036972324,8.293088473540957,0.4161756826285962,9.849814046912941
48,0.456,0.474,0.504,0.53,2,71,65.80714842163574,2,1,2,2,5.0,9.016670722983813,1.337769925454256,1.0,2.3682148627734745,0.614461231666157,4.964656232843352
49,0.456,0.474,0.453,0.392,3,51,93.1807525173517,4,1,2,2,8.0,13.029092729898359,21.011671111820313,44.8383081326532,55.79424153940382,0.6030975931209552,14.37738902543174
